route_id,trip_id,trip_headsign,service_id,shape_id
0,26,GALLERA - EPACEM - RT049,0,1
0,27,GALLERA - EPACEM - RT048,0,1
0,20,GALLERA - EPACEM - RT041,0,1
0,21,GALLERA - EPACEM - RT024,0,1
0,22,GALLERA - EPACEM - RT057,0,1
0,23,GALLERA - EPACEM - RT081,0,1
0,28,GALLERA - EPACEM - RT095,0,1
0,29,GALLERA - EPACEM - RT033,0,1
5,407,LAS PIEDRAS - RT076,0,4B
5,406,LAS PIEDRAS - RT089,0,4B
5,405,LAS PIEDRAS - RT017,0,4B
5,404,LAS PIEDRAS - RT080,0,4B
5,403,LAS PIEDRAS - RT059,0,4B
5,402,LAS PIEDRAS - RT026,0,4B
5,401,LAS PIEDRAS - RT043,0,4B
5,400,LAS PIEDRAS - RT035,0,4B
8,629,SANTA MARIA DEL TOACHI - RT070,0,5C
5,409,LAS PIEDRAS - RT008,0,4B
5,408,LAS PIEDRAS - RT099,0,4B
8,628,SANTA MARIA DEL TOACHI - RT019,0,5C
11,758,ANILLO VIAL (SECAP) - RT97,0,24A
5,379,LAS PIEDRAS - RT017,0,4B
5,378,LAS PIEDRAS - RT080,0,4B
11,829,ANILLO VIAL (SECAP) - RT040,0,24A
11,828,ANILLO VIAL (SECAP) - RT023,0,24A
5,371,LAS PIEDRAS - RT067,0,4B
5,370,LAS PIEDRAS - RT008,0,4B
5,373,LAS PIEDRAS - RT051,0,4B
5,372,LAS PIEDRAS - RT009,0,4B
5,375,LAS PIEDRAS - RT043,0,4B
5,374,LAS PIEDRAS - RT035,0,4B
5,377,LAS PIEDRAS - RT059,0,4B
5,376,LAS PIEDRAS - RT026,0,4B
11,708,ANILLO VIAL (SECAP) - RT005,0,24A
11,709,ANILLO VIAL (SECAP) - RT086,0,24A
11,704,ANILLO VIAL (SECAP) - RT97,0,24A
11,705,ANILLO VIAL (SECAP) - RT020,0,24A
11,706,ANILLO VIAL (SECAP) - RT056,0,24A
11,707,ANILLO VIAL (SECAP) - RT085,0,24A
11,700,ANILLO VIAL (SECAP) - RT086,0,24A
8,618,SANTA MARIA DEL TOACHI - RT078,0,5C
11,702,ANILLO VIAL (SECAP) - RT023,0,24A
11,703,ANILLO VIAL (SECAP) - RT040,0,24A
5,393,LAS PIEDRAS - RT089,0,4B
5,392,LAS PIEDRAS - RT017,0,4B
1,88,PARAISO - U. CATOLICA - RT093,0,2
1,89,PARAISO - U. CATOLICA - RT089,0,2
5,397,LAS PIEDRAS - RT067,0,4B
5,396,LAS PIEDRAS - RT008,0,4B
5,395,LAS PIEDRAS - RT099,0,4B
5,394,LAS PIEDRAS - RT076,0,4B
1,82,PARAISO - U. CATOLICA - RT089,0,2
1,83,PARAISO - U. CATOLICA - RT047,0,2
0,80,GALLERA - EPACEM - RT041,0,1
1,81,PARAISO - U. CATOLICA - RT093,0,2
1,86,PARAISO - U. CATOLICA - RT030,0,2
1,87,PARAISO - U. CATOLICA - RT004,0,2
1,84,PARAISO - U. CATOLICA - RT063,0,2
1,85,PARAISO - U. CATOLICA - RT013,0,2
11,797,ANILLO VIAL (SECAP) - RT085,0,24A
11,796,ANILLO VIAL (SECAP) - RT056,0,24A
11,795,ANILLO VIAL (SECAP) - RT020,0,24A
11,794,ANILLO VIAL (SECAP) - RT97,0,24A
11,793,ANILLO VIAL (SECAP) - RT040,0,24A
11,792,ANILLO VIAL (SECAP) - RT023,0,24A
11,791,ANILLO VIAL (SECAP) - RT098,0,24A
11,790,ANILLO VIAL (SECAP) - RT086,0,24A
11,799,ANILLO VIAL (SECAP) - RT086,0,24A
11,798,ANILLO VIAL (SECAP) - RT005,0,24A
0,7,GALLERA - EPACEM - RT015,0,1
8,601,SANTA MARIA DEL TOACHI - RT055,0,5C
8,607,SANTA MARIA DEL TOACHI - RT045,0,5C
8,586,SANTA MARIA DEL TOACHI - RT053,0,5C
8,587,SANTA MARIA DEL TOACHI - RT-0082,0,5C
8,584,SANTA MARIA DEL TOACHI - RT091,0,5C
8,585,SANTA MARIA DEL TOACHI - RT028,0,5C
8,582,SANTA MARIA DEL TOACHI - RT037,0,5C
8,583,SANTA MARIA DEL TOACHI - RT021,0,5C
8,580,SANTA MARIA DEL TOACHI - RT061,0,5C
8,581,SANTA MARIA DEL TOACHI - RT045,0,5C
8,588,SANTA MARIA DEL TOACHI - RT055,0,5C
8,589,SANTA MARIA DEL TOACHI - RT019,0,5C
4,245,VILLA FLORIDA - BRISAS - RT050,0,4A
4,244,VILLA FLORIDA - BRISAS - RT088,0,4A
4,247,VILLA FLORIDA - BRISAS - RT034,0,4A
4,246,VILLA FLORIDA - BRISAS - RT075,0,4A
4,241,VILLA FLORIDA - BRISAS - RT042,0,4A
4,240,VILLA FLORIDA - BRISAS - RT016,0,4A
4,243,VILLA FLORIDA - BRISAS - RT066,0,4A
4,242,VILLA FLORIDA - BRISAS - RT007,0,4A
8,615,SANTA MARIA DEL TOACHI - RT019,0,5C
4,249,VILLA FLORIDA - BRISAS - RT025,0,4A
4,248,VILLA FLORIDA - BRISAS - RT079,0,4A
6,519,BURNEO - BRISAS - RT072,0,5A
6,518,BURNEO - BRISAS - RT044,0,5A
6,511,BURNEO - BRISAS - RT060,0,5A
6,510,BURNEO - BRISAS - RT010,0,5A
6,513,BURNEO - BRISAS - RT077,0,5A
6,512,BURNEO - BRISAS - RT027,0,5A
6,515,BURNEO - BRISAS - RT018,0,5A
6,514,BURNEO - BRISAS - RT068,0,5A
6,517,BURNEO - BRISAS - RT036,0,5A
6,516,BURNEO - BRISAS - RT001,0,5A
6,458,BURNEO - BRISAS - RT044,0,5A
6,459,BURNEO - BRISAS - RT072,0,5A
8,621,SANTA MARIA DEL TOACHI - RT037,0,5C
8,620,SANTA MARIA DEL TOACHI - RT045,0,5C
8,627,SANTA MARIA DEL TOACHI - RT055,0,5C
8,626,SANTA MARIA DEL TOACHI - RT-0082,0,5C
8,625,SANTA MARIA DEL TOACHI - RT053,0,5C
8,624,SANTA MARIA DEL TOACHI - RT028,0,5C
5,450,LAS PIEDRAS - RT009,0,4B
5,451,LAS PIEDRAS - RT051,0,4B
5,452,LAS PIEDRAS - RT035,0,4B
5,453,LAS PIEDRAS - RT043,0,4B
5,454,LAS PIEDRAS - RT026,0,4B
5,455,LAS PIEDRAS - RT059,0,4B
6,456,BURNEO - BRISAS - RT001,0,5A
6,457,BURNEO - BRISAS - RT036,0,5A
2,179,HERIBERTO M. - RT073,0,3A-3B
2,178,HERIBERTO M. - RT029,0,3A-3B
2,177,HERIBERTO M. - RT092,0,3A-3B
2,176,HERIBERTO M. - RT071,0,3A-3B
2,175,HERIBERTO M. - RT038,0,3A-3B
2,174,HERIBERTO M. - RT003,0,3A-3B
2,173,HERIBERTO M. - RT012,0,3A-3B
2,172,HERIBERTO M. - RT054,0,3A-3B
2,171,HERIBERTO M. - RT083,0,3A-3B
2,170,HERIBERTO M. - RT046,0,3A-3B
9,656,ANILLO EXTERNO (DURAGAS) - RT032,0,19A
9,657,ANILLO EXTERNO (DURAGAS) - RT094,0,19A
9,654,ANILLO EXTERNO (DURAGAS) - RT094,0,19A
4,253,VILLA FLORIDA - BRISAS - RT016,0,4A
2,182,HERIBERTO M. - RT083,0,3A-3B
2,183,HERIBERTO M. - RT054,0,3A-3B
2,180,HERIBERTO M. - RT062,0,3A-3B
2,181,HERIBERTO M. - RT046,0,3A-3B
2,186,HERIBERTO M. - RT038,0,3A-3B
2,187,HERIBERTO M. - RT071,0,3A-3B
2,184,HERIBERTO M. - RT012,0,3A-3B
2,185,HERIBERTO M. - RT003,0,3A-3B
9,652,ANILLO EXTERNO (DURAGAS) - RT014,0,19A
2,188,HERIBERTO M. - RT092,0,3A-3B
2,189,HERIBERTO M. - RT029,0,3A-3B
9,658,ANILLO EXTERNO (DURAGAS) - RT014,0,19A
9,653,ANILLO EXTERNO (DURAGAS) - RT032,0,19A
9,650,ANILLO EXTERNO (DURAGAS) - RT032,0,19A
9,651,ANILLO EXTERNO (DURAGAS) - RT094,0,19A
11,764,ANILLO VIAL (SECAP) - RT098,0,24A
0,11,GALLERA - EPACEM - RT081,0,1
0,10,GALLERA - EPACEM - RT057,0,1
0,13,GALLERA - EPACEM - RT074,0,1
0,12,GALLERA - EPACEM - RT006,0,1
0,15,GALLERA - EPACEM - RT048,0,1
0,14,GALLERA - EPACEM - RT049,0,1
0,17,GALLERA - EPACEM - RT033,0,1
0,16,GALLERA - EPACEM - RT095,0,1
0,19,GALLERA - EPACEM - RT015,0,1
0,18,GALLERA - EPACEM - RT065,0,1
11,863,ANILLO VIAL (SECAP) - RT020,0,24A
11,862,ANILLO VIAL (SECAP) - RT040,0,24A
11,864,ANILLO VIAL (SECAP) - RT085,0,24A
9,659,ANILLO EXTERNO (DURAGAS) - RT032,0,19A
11,753,ANILLO VIAL (SECAP) - RT005,0,24A
11,831,ANILLO VIAL (SECAP) - RT020,0,24A
11,752,ANILLO VIAL (SECAP) - RT085,0,24A
0,62,GALLERA - EPACEM - RT049,0,1
11,756,ANILLO VIAL (SECAP) - RT023,0,24A
11,809,ANILLO VIAL (SECAP) - RT098,0,24A
4,322,VILLA FLORIDA - BRISAS - RT088,0,4A
4,323,VILLA FLORIDA - BRISAS - RT050,0,4A
4,320,VILLA FLORIDA - BRISAS - RT007,0,4A
4,321,VILLA FLORIDA - BRISAS - RT066,0,4A
4,326,VILLA FLORIDA - BRISAS - RT079,0,4A
4,327,VILLA FLORIDA - BRISAS - RT025,0,4A
4,324,VILLA FLORIDA - BRISAS - RT075,0,4A
4,325,VILLA FLORIDA - BRISAS - RT034,0,4A
4,328,VILLA FLORIDA - BRISAS - RT096,0,4A
4,329,VILLA FLORIDA - BRISAS - RT064,0,4A
11,759,ANILLO VIAL (SECAP) - RT020,0,24A
2,201,HERIBERTO M. - RT073,0,3A-3B
2,200,HERIBERTO M. - RT029,0,3A-3B
2,203,HERIBERTO M. - RT046,0,3A-3B
2,202,HERIBERTO M. - RT062,0,3A-3B
2,205,HERIBERTO M. - RT054,0,3A-3B
2,204,HERIBERTO M. - RT083,0,3A-3B
2,207,HERIBERTO M. - RT003,0,3A-3B
2,206,HERIBERTO M. - RT012,0,3A-3B
2,209,HERIBERTO M. - RT071,0,3A-3B
2,208,HERIBERTO M. - RT038,0,3A-3B
11,779,ANILLO VIAL (SECAP) - RT085,0,24A
11,778,ANILLO VIAL (SECAP) - RT056,0,24A
0,77,GALLERA - EPACEM - RT033,0,1
0,76,GALLERA - EPACEM - RT095,0,1
0,75,GALLERA - EPACEM - RT048,0,1
0,74,GALLERA - EPACEM - RT049,0,1
0,73,GALLERA - EPACEM - RT074,0,1
0,72,GALLERA - EPACEM - RT006,0,1
0,71,GALLERA - EPACEM - RT081,0,1
0,70,GALLERA - EPACEM - RT057,0,1
9,655,ANILLO EXTERNO (DURAGAS) - RT014,0,19A
0,79,GALLERA - EPACEM - RT015,0,1
0,78,GALLERA - EPACEM - RT065,0,1
0,2,GALLERA - EPACEM - RT049,0,1
